id;nom_conseiller;prenom;domaine_expertise;coordonnees
1;pacifique;en dépit de attendrir remettre;splendide en face de vroum;afin que dessus
2;au cas où;vraiment;conseil d’administration;recta soudain svelte
3;fourbe dense;à bas de miaou;attraper;depuis grouper sauvage
4;probablement euh étant donné que;de par broum;actionnaire cot cot pendant que;séculaire tard oh
5;manipuler commis de cuisine;joliment cependant;intrépide;collègue parce que
6;en dedans de administration secouriste;détourner plaider;équipe de recherche sauf à;assez intrépide agiter
7;connaître à partir de assez;lors tant;au-dessous de d'après;quand rose distribuer
8;d’autant que sédentaire;poursuivre;approximativement;de façon à ce que adepte
9;administration population du Québec malgré;repartir acheter;en outre de bon sauvage;mourir sitôt que
10;à l'entour de bof;plouf;tantôt;touchant tic-tac recruter
