id;nom;prenom;email;choix_de_carriere;progression_academique
1;sans que puisque au-devant;adepte recourir;Melodie_Moulin@gmail.com;débattre avant zzzz;3593.83
2;population du Québec;d’autant que d'après;Parfait_Bertrand@yahoo.fr;pourpre police bang;15598.85
3;immense tchou tchouu;triste;Amandine73@hotmail.fr;oh diplomate;26461.54
4;placide à l'encontre de cyan;contre d'abord;Amandin80@hotmail.fr;avant que derrière;24522.43
5;serviable;sauter autour de hors de;Euphrasie33@gmail.com;soulager;25606.07
6;broum;rudement aux environs de;Romuald.Baron@hotmail.fr;au moyen de ha ha permettre;17769.11
7;chef de cuisine si avare;autrefois;Gatien12@gmail.com;cuicui par rapport à hâter;12621.5
8;comme à seule fin de;absorber oui psitt;Auxence.Roux@yahoo.fr;bè craindre un peu;8788.45
9;de sorte que affecter;broum moderne;Irene_Julien57@yahoo.fr;secours bè avant que;18211.65
10;euh installer ailleurs;de façon que main-d’œuvre;Jude25@gmail.com;délégation magenta;17401.76
